id,brand,name,year,price,Город,"Объем двигателя, л",Кузов,Пробег,Коробка передач,Цвет,Привод,Есть доставка
1161646,Chevrolet,"Nexia 2,",2014,4700,Наманган,1.5 (газ),седан,400000.0,механика,молочный цвет,передний привод,
1210817,Chevrolet,"Matiz,",2015,4800,Наманган,0.8 (газ-бензин),хэтчбек,85.0,механика,,передний привод,
1210815,Chevrolet,"Nexia 2,",2013,6200,Джизак,1.6 (газ-бензин),седан,130000.0,механика,дельфин,передний привод,
1089230,ВАЗ (Lada),Самара (хэтчбек 2109),1991,2500,Бухара,1.5 (газ-бензин),седан,80210.0,механика,,,
1210805,Chevrolet,"Nexia 2,",2008,4500,Наманган,1.5 (газ-бензин),седан,,механика,серый,передний привод,
1110746,Daewoo,Nexia,2005,4200,Самарканд,1.6 (газ),седан,1234567.0,механика,жёлтый,передний привод,Да
1210808,ВАЗ (Lada),Самара (хэтчбек 2109),1995,2300,Самарканд,,,,механика,,,
1210807,Chevrolet,"Spark,",2016,7900,Ташкент,1.3 (бензин),хэтчбек,59000.0,механика,,передний привод,
1210801,Daewoo,Tico,2000,3000,Бухара,3 (бензин),седан,11000.0,механика,белый,передний привод,
1210794,Chevrolet,"Lacetti,",2010,7900,Бухара,1.8 (бензин),седан,89000.0,механика,белый,передний привод,
1210797,Chevrolet,"Spark,",2017,6800,Ташкент,1.3 (бензин),хэтчбек,119000.0,автомат,белый,передний привод,
